CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,GENDER
Harry Potter,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Ron Weasley,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Hermione Granger,HP,HarryPotterandtheChamberofSecrets,15-11-2002,female
Vernon Dursley,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Petunia Dursley,HP,HarryPotterandtheChamberofSecrets,15-11-2002,female
Dudley Dursley,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Dobby,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Fred Weasley,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
George Weasley,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Molly Weasley,HP,HarryPotterandtheChamberofSecrets,15-11-2002,female
Ginny Weasley,HP,HarryPotterandtheChamberofSecrets,15-11-2002,female
Arthur Weasley,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Percy Weasley,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Draco Malfoy,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Lucius Malfoy,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Mr Borgin,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Rubeus Hagrid,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Gilderoy Lockhart,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Angus,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Neville Longbottom,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Seamus Finnigan,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Mr. Filch,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Severus Snape,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Albus Dumbledore,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Minerva McGonagall,HP,HarryPotterandtheChamberofSecrets,15-11-2002,female
Vincent Crabbe,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Gregory Goyle,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Professor Pamona Sprout,HP,HarryPotterandtheChamberofSecrets,15-11-2002,female
Penelope Clearwater,HP,HarryPotterandtheChamberofSecrets,15-11-2002,female
Nearly Headless Nick,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Colin Creevey,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Dean Thomas,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Susan Bones,HP,HarryPotterandtheChamberofSecrets,15-11-2002,female
Oliver Wood,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Alicia Spinnet,HP,HarryPotterandtheChamberofSecrets,15-11-2002,female
Katie Bell,HP,HarryPotterandtheChamberofSecrets,15-11-2002,female
Angelina Johnson,HP,HarryPotterandtheChamberofSecrets,15-11-2002,female
Marcus Flint,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Filius Flitwick,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Lee Jordan,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Adrian Pucey,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Madam Pomfrey,HP,HarryPotterandtheChamberofSecrets,15-11-2002,female
Moaning Myrtle,HP,HarryPotterandtheChamberofSecrets,15-11-2002,female
Justin Finch-Fletchley,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Madam Irma Pince,HP,HarryPotterandtheChamberofSecrets,15-11-2002,female
Ernie MacMillan,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Hannah Hufflepuff,HP,HarryPotterandtheChamberofSecrets,15-11-2002,female
Professor Dippet,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
The Sorting Hat,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Millicent Bulstrode,HP,HarryPotterandtheChamberofSecrets,15-11-2002,female
Tom Riddle,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Cornelius Fudge,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Aragog,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Mr Mason,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Mrs Mason,HP,HarryPotterandtheChamberofSecrets,15-11-2002,female
Mr Granger,HP,HarryPotterandtheChamberofSecrets,15-11-2002,male
Mrs Granger,HP,HarryPotterandtheChamberofSecrets,15-11-2002,female
