CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,GENDER
Lord Voldemort,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Albus Dumbledore,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Severus Snape,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Harry Potter,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Ron Weasley,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Hermione Granger,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,female
Luna Lovegood,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,female
Bill Weasley,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Fleur Delacour,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,female
Filius Flitwick,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Ollivander,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Bellatrix Lestrange,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,female
Bogrod,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Helena Ravenclaw,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,female
Lucius Malfoy,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Narcissa Malfoy,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,female
Draco Malfoy,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Aberforth Dumbledore,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Neville Longbottom,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Seamus Finnigan,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Lavender Brown,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,female
Padma Patil,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,female
Leanne,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,female
Romilda Vane,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,female
Katie Bell,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,female
Dean Thomas,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Cho Chang,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,female
Ginny Weasley,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,female
Minerva McGonagall,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,female
Horace Slughorn,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Pansy Parkinson,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,female
Gregory Goyle,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Blaise Zabini,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Professor Pomona Sprout,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,female
Madam Pomfrey,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,female
Kingsley Shacklebolt,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Remus Lupin,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,male
Molly Weasley,HP,HarryPotterandtheDeathlyHallows:Part2,07-07-2011,female
