CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,GENDER
Harry Potter,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Albus Dumbledore,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Fenrir Greyback,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Horace Slughorn,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Ginny Weasley,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Molly Weasley,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Ron Weasley,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Hermione Granger,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Bellatrix Lestrange,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Narcissa Malfoy,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Severus Snape,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
George Weasley,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Fred Weasley,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Cormac McLaggen,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Lavender Brown,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Draco Malfoy,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Dean Thomas,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Luna Lovegood,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Marcus Belby,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Blaise Zabini,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Pansy Parkinson,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Vincent Crabbe,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Gregory Goyle,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Rubeus Hagrid,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Filius Flitwick,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Argus Filch,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Neville Longbottom,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Nigel,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Romilda Vane,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Seamus Finnigan,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Katie Bell,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Minerva McGonagall,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Leanne,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Padma Patil,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Parvati Patil,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Mrs. Cole,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Eldred Worple,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Remus Lupin,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Nymphadora Tonks,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Arthur Weasley,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Wendy Slinkhard,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Lily Potter,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Peter Pettigrew,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Madam Pomfrey,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Amycus,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
Alecto,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Rowle,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,male
Cho Chang,HP,HarryPotterandtheHalf-BloodPrince,15-07-2009,female
