NAME 1,NAME 2
Harry Potter,Ron Weasley
Harry Potter,Hermione Granger
Harry Potter,Vernon Dursley
Harry Potter,Petunia Dursley
Harry Potter,Dudley Dursley
Harry Potter,Dobby
Harry Potter,Fred Weasley
Harry Potter,George Weasley
Harry Potter,Molly Weasley
Harry Potter,Ginny Weasley
Harry Potter,Arthur Weasley
Harry Potter,Percy Weasley
Harry Potter,Draco Malfoy
Harry Potter,Lucius Malfoy
Harry Potter,Mr Borgin
Harry Potter,Rubeus Hagrid
Harry Potter,Gilderoy Lockhart
Harry Potter,Angus
Harry Potter,Neville Longbottom
Harry Potter,Seamus Finnigan
Harry Potter,Mr. Filch
Harry Potter,Severus Snape
Harry Potter,Albus Dumbledore
Harry Potter,Minerva McGonagall
Harry Potter,Vincent Crabbe
Harry Potter,Gregory Goyle
Harry Potter,Professor Pamona Sprout
Harry Potter,Penelope Clearwater
Harry Potter,Nearly Headless Nick
Harry Potter,Colin Creevey
Harry Potter,Dean Thomas
Harry Potter,Susan Bones
Harry Potter,Oliver Wood
Harry Potter,Alicia Spinnet
Harry Potter,Katie Bell
Harry Potter,Angelina Johnson
Harry Potter,Marcus Flint
Harry Potter,Filius Flitwick
Harry Potter,Lee Jordan
Harry Potter,Adrian Pucey
Harry Potter,Madam Pomfrey
Harry Potter,Moaning Myrtle
Harry Potter,Justin Finch-Fletchley
Harry Potter,Madam Irma Pince
Harry Potter,Ernie MacMillan
Harry Potter,Hannah Hufflepuff
Harry Potter,Professor Dippet
Harry Potter,The Sorting Hat
Harry Potter,Millicent Bulstrode
Harry Potter,Tom Riddle
Harry Potter,Cornelius Fudge
Harry Potter,Aragog
Harry Potter,Mr Mason
Harry Potter,Mrs Mason
Harry Potter,Mr Granger
Harry Potter,Mrs Granger
Ron Weasley,Hermione Granger
Ron Weasley,Vernon Dursley
Ron Weasley,Petunia Dursley
Ron Weasley,Dudley Dursley
Ron Weasley,Dobby
Ron Weasley,Fred Weasley
Ron Weasley,George Weasley
Ron Weasley,Molly Weasley
Ron Weasley,Ginny Weasley
Ron Weasley,Arthur Weasley
Ron Weasley,Percy Weasley
Ron Weasley,Draco Malfoy
Ron Weasley,Lucius Malfoy
Ron Weasley,Mr Borgin
Ron Weasley,Rubeus Hagrid
Ron Weasley,Gilderoy Lockhart
Ron Weasley,Angus
Ron Weasley,Neville Longbottom
Ron Weasley,Seamus Finnigan
Ron Weasley,Mr. Filch
Ron Weasley,Severus Snape
Ron Weasley,Albus Dumbledore
Ron Weasley,Minerva McGonagall
Ron Weasley,Vincent Crabbe
Ron Weasley,Gregory Goyle
Ron Weasley,Professor Pamona Sprout
Ron Weasley,Penelope Clearwater
Ron Weasley,Nearly Headless Nick
Ron Weasley,Colin Creevey
Ron Weasley,Dean Thomas
Ron Weasley,Susan Bones
Ron Weasley,Oliver Wood
Ron Weasley,Alicia Spinnet
Ron Weasley,Katie Bell
Ron Weasley,Angelina Johnson
Ron Weasley,Marcus Flint
Ron Weasley,Filius Flitwick
Ron Weasley,Lee Jordan
Ron Weasley,Adrian Pucey
Ron Weasley,Madam Pomfrey
Ron Weasley,Moaning Myrtle
Ron Weasley,Justin Finch-Fletchley
Ron Weasley,Madam Irma Pince
Ron Weasley,Ernie MacMillan
Ron Weasley,Hannah Hufflepuff
Ron Weasley,Professor Dippet
Ron Weasley,The Sorting Hat
Ron Weasley,Millicent Bulstrode
Ron Weasley,Tom Riddle
Ron Weasley,Cornelius Fudge
Ron Weasley,Aragog
Ron Weasley,Mr Mason
Ron Weasley,Mrs Mason
Ron Weasley,Mr Granger
Ron Weasley,Mrs Granger
Hermione Granger,Vernon Dursley
