NAME 1,NAME 2
Frank Bryce,Peter Pettigrew
Frank Bryce,Barty Crouch Junior
Frank Bryce,Harry Potter
Frank Bryce,Hermione Granger
Frank Bryce,Ron Weasley
Frank Bryce,Arthur Weasley
Frank Bryce,Fred Weasley
Frank Bryce,George Weasley
Frank Bryce,Ginny Weasley
Frank Bryce,Amos Diggory
Frank Bryce,Cedric Diggory
Frank Bryce,Lucius Malfoy
Frank Bryce,Draco Malfoy
Frank Bryce,Viktor Krum
Frank Bryce,Cornelius Fudge
Frank Bryce,Barty Crouch
Frank Bryce,Cho Chang
Frank Bryce,Neville Longbottom
Frank Bryce,Rubeus Hagrid
Frank Bryce,Nigel
Frank Bryce,Albus Dumbledore
Frank Bryce,Argus Filch
Frank Bryce,Seamus Finnigan
Frank Bryce,Padma Patil
Frank Bryce,Madame Olympe Maxime
Frank Bryce,Parvati Patil
Frank Bryce,Gabrielle Delacour
Frank Bryce,Fleur Delacour
Frank Bryce,Minerva McGonagall
Frank Bryce,Severus Snape
Frank Bryce,Igor Karkaroff
Frank Bryce,Alastor 'MadEye' Moody
Frank Bryce,Dean Thomas
Frank Bryce,Ernie MacMillan
Frank Bryce,Gregory Goyle
Frank Bryce,Hannah Abbott
Frank Bryce,Rita Skeeter
Frank Bryce,Sirius Black
Frank Bryce,Angelina Johnson
Frank Bryce,Roger Davies
Frank Bryce,Moaning Myrtle
Frank Bryce,Lord Voldemort
Frank Bryce,James Potter
Frank Bryce,Lily Potter
Frank Bryce,Filius Flitwick
Frank Bryce,Vincent Crabbe
Peter Pettigrew,Barty Crouch Junior
Peter Pettigrew,Harry Potter
Peter Pettigrew,Hermione Granger
Peter Pettigrew,Ron Weasley
Peter Pettigrew,Arthur Weasley
Peter Pettigrew,Fred Weasley
Peter Pettigrew,George Weasley
Peter Pettigrew,Ginny Weasley
Peter Pettigrew,Amos Diggory
Peter Pettigrew,Cedric Diggory
Peter Pettigrew,Lucius Malfoy
Peter Pettigrew,Draco Malfoy
Peter Pettigrew,Viktor Krum
Peter Pettigrew,Cornelius Fudge
Peter Pettigrew,Barty Crouch
Peter Pettigrew,Cho Chang
Peter Pettigrew,Neville Longbottom
Peter Pettigrew,Rubeus Hagrid
Peter Pettigrew,Nigel
Peter Pettigrew,Albus Dumbledore
Peter Pettigrew,Argus Filch
Peter Pettigrew,Seamus Finnigan
Peter Pettigrew,Padma Patil
Peter Pettigrew,Madame Olympe Maxime
Peter Pettigrew,Parvati Patil
Peter Pettigrew,Gabrielle Delacour
Peter Pettigrew,Fleur Delacour
Peter Pettigrew,Minerva McGonagall
Peter Pettigrew,Severus Snape
Peter Pettigrew,Igor Karkaroff
Peter Pettigrew,Alastor 'MadEye' Moody
Peter Pettigrew,Dean Thomas
Peter Pettigrew,Ernie MacMillan
Peter Pettigrew,Gregory Goyle
Peter Pettigrew,Hannah Abbott
Peter Pettigrew,Rita Skeeter
Peter Pettigrew,Sirius Black
Peter Pettigrew,Angelina Johnson
Peter Pettigrew,Roger Davies
Peter Pettigrew,Moaning Myrtle
Peter Pettigrew,Lord Voldemort
Peter Pettigrew,James Potter
Peter Pettigrew,Lily Potter
Peter Pettigrew,Filius Flitwick
Peter Pettigrew,Vincent Crabbe
Barty Crouch Junior,Harry Potter
Barty Crouch Junior,Hermione Granger
Barty Crouch Junior,Ron Weasley
Barty Crouch Junior,Arthur Weasley
Barty Crouch Junior,Fred Weasley
Barty Crouch Junior,George Weasley
Barty Crouch Junior,Ginny Weasley
Barty Crouch Junior,Amos Diggory
Barty Crouch Junior,Cedric Diggory
Barty Crouch Junior,Lucius Malfoy
Barty Crouch Junior,Draco Malfoy
Barty Crouch Junior,Viktor Krum
Barty Crouch Junior,Cornelius Fudge
Barty Crouch Junior,Barty Crouch
Barty Crouch Junior,Cho Chang
Barty Crouch Junior,Neville Longbottom
Barty Crouch Junior,Rubeus Hagrid
Barty Crouch Junior,Nigel
Barty Crouch Junior,Albus Dumbledore
Barty Crouch Junior,Argus Filch
Barty Crouch Junior,Seamus Finnigan
Barty Crouch Junior,Padma Patil
Barty Crouch Junior,Madame Olympe Maxime
Barty Crouch Junior,Parvati Patil
Barty Crouch Junior,Gabrielle Delacour
Barty Crouch Junior,Fleur Delacour
Barty Crouch Junior,Minerva McGonagall
Barty Crouch Junior,Severus Snape
Barty Crouch Junior,Igor Karkaroff
Barty Crouch Junior,Alastor 'MadEye' Moody
Barty Crouch Junior,Dean Thomas
Barty Crouch Junior,Ernie MacMillan
Barty Crouch Junior,Gregory Goyle
Barty Crouch Junior,Hannah Abbott
Barty Crouch Junior,Rita Skeeter
Barty Crouch Junior,Sirius Black
Barty Crouch Junior,Angelina Johnson
Barty Crouch Junior,Roger Davies
Barty Crouch Junior,Moaning Myrtle
Barty Crouch Junior,Lord Voldemort
Barty Crouch Junior,James Potter
Barty Crouch Junior,Lily Potter
Barty Crouch Junior,Filius Flitwick
Barty Crouch Junior,Vincent Crabbe
Harry Potter,Hermione Granger
Harry Potter,Ron Weasley
Harry Potter,Arthur Weasley
Harry Potter,Fred Weasley
Harry Potter,George Weasley
Harry Potter,Ginny Weasley
Harry Potter,Amos Diggory
Harry Potter,Cedric Diggory
Harry Potter,Lucius Malfoy
Harry Potter,Draco Malfoy
Harry Potter,Viktor Krum
Harry Potter,Cornelius Fudge
Harry Potter,Barty Crouch
Harry Potter,Cho Chang
Harry Potter,Neville Longbottom
Harry Potter,Rubeus Hagrid
Harry Potter,Nigel
Harry Potter,Albus Dumbledore
Harry Potter,Argus Filch
Harry Potter,Seamus Finnigan
Harry Potter,Padma Patil
Harry Potter,Madame Olympe Maxime
Harry Potter,Parvati Patil
Harry Potter,Gabrielle Delacour
Harry Potter,Fleur Delacour
Harry Potter,Minerva McGonagall
Harry Potter,Severus Snape
Harry Potter,Igor Karkaroff
Harry Potter,Alastor 'MadEye' Moody
Harry Potter,Dean Thomas
Harry Potter,Ernie MacMillan
Harry Potter,Gregory Goyle
Harry Potter,Hannah Abbott
Harry Potter,Rita Skeeter
Harry Potter,Sirius Black
Harry Potter,Angelina Johnson
Harry Potter,Roger Davies
Harry Potter,Moaning Myrtle
Harry Potter,Lord Voldemort
Harry Potter,James Potter
Harry Potter,Lily Potter
Harry Potter,Filius Flitwick
Harry Potter,Vincent Crabbe
Hermione Granger,Ron Weasley
Hermione Granger,Arthur Weasley
Hermione Granger,Fred Weasley
Hermione Granger,George Weasley
Hermione Granger,Ginny Weasley
Hermione Granger,Amos Diggory
Hermione Granger,Cedric Diggory
Hermione Granger,Lucius Malfoy
Hermione Granger,Draco Malfoy
Hermione Granger,Viktor Krum
Hermione Granger,Cornelius Fudge
Hermione Granger,Barty Crouch
Hermione Granger,Cho Chang
Hermione Granger,Neville Longbottom
Hermione Granger,Rubeus Hagrid
Hermione Granger,Nigel
Hermione Granger,Albus Dumbledore
Hermione Granger,Argus Filch
Hermione Granger,Seamus Finnigan
Hermione Granger,Padma Patil
Hermione Granger,Madame Olympe Maxime
Hermione Granger,Parvati Patil
Hermione Granger,Gabrielle Delacour
Hermione Granger,Fleur Delacour
Hermione Granger,Minerva McGonagall
Hermione Granger,Severus Snape
Hermione Granger,Igor Karkaroff
Hermione Granger,Alastor 'MadEye' Moody
Hermione Granger,Dean Thomas
Hermione Granger,Ernie MacMillan
