NAME 1,NAME 2
Harry Potter,Albus Dumbledore
Harry Potter,Fenrir Greyback
Harry Potter,Horace Slughorn
Harry Potter,Ginny Weasley
Harry Potter,Molly Weasley
Harry Potter,Ron Weasley
Harry Potter,Hermione Granger
Harry Potter,Bellatrix Lestrange
Harry Potter,Narcissa Malfoy
Harry Potter,Severus Snape
Harry Potter,George Weasley
Harry Potter,Fred Weasley
Harry Potter,Cormac McLaggen
Harry Potter,Lavender Brown
Harry Potter,Draco Malfoy
Harry Potter,Dean Thomas
Harry Potter,Luna Lovegood
Harry Potter,Marcus Belby
Harry Potter,Blaise Zabini
Harry Potter,Pansy Parkinson
Harry Potter,Vincent Crabbe
Harry Potter,Gregory Goyle
Harry Potter,Rubeus Hagrid
Harry Potter,Filius Flitwick
Harry Potter,Argus Filch
Harry Potter,Neville Longbottom
Harry Potter,Nigel
Harry Potter,Romilda Vane
Harry Potter,Seamus Finnigan
Harry Potter,Katie Bell
Harry Potter,Minerva McGonagall
Harry Potter,Leanne
Harry Potter,Padma Patil
Harry Potter,Parvati Patil
Harry Potter,Mrs. Cole
Harry Potter,Eldred Worple
Harry Potter,Remus Lupin
Harry Potter,Nymphadora Tonks
Harry Potter,Arthur Weasley
Harry Potter,Wendy Slinkhard
Harry Potter,Lily Potter
Harry Potter,Peter Pettigrew
Harry Potter,Madam Pomfrey
Harry Potter,Amycus
Harry Potter,Alecto
Harry Potter,Rowle
Harry Potter,Cho Chang
Albus Dumbledore,Fenrir Greyback
Albus Dumbledore,Horace Slughorn
Albus Dumbledore,Ginny Weasley
Albus Dumbledore,Molly Weasley
Albus Dumbledore,Ron Weasley
Albus Dumbledore,Hermione Granger
Albus Dumbledore,Bellatrix Lestrange
Albus Dumbledore,Narcissa Malfoy
Albus Dumbledore,Severus Snape
Albus Dumbledore,George Weasley
Albus Dumbledore,Fred Weasley
Albus Dumbledore,Cormac McLaggen
Albus Dumbledore,Lavender Brown
Albus Dumbledore,Draco Malfoy
Albus Dumbledore,Dean Thomas
Albus Dumbledore,Luna Lovegood
