CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Scott Lang / Ant-Man,MCU,Ant-Man,29-Jun-15,good,male,human hero,short,n
Dr. Hank Pym,MCU,Ant-Man,29-Jun-15,good,male,human,short,y
Hope van Dyne / Wasp,MCU,Ant-Man,29-Jun-15,good,female,human hero,change,n
Darren Cross / Yellowjacket,MCU,Ant-Man,29-Jun-15,bad,male,human,bald,n
Paxton,MCU,Ant-Man,29-Jun-15,good,male,human,short,n
Sam Wilson / Falcon,MCU,Ant-Man,29-Jun-15,good,male,human hero,short,y
Maggie Lang,MCU,Ant-Man,29-Jun-15,good,female,human,long,n
Cassie Lang,MCU,Ant-Man,29-Jun-15,good,female,human,long,n
Luis,MCU,Ant-Man,29-Jun-15,good,male,human,short,y
Kurt,MCU,Ant-Man,29-Jun-15,good,male,human,short,n
Dave,MCU,Ant-Man,29-Jun-15,good,male,human,bald,n
Gale,MCU,Ant-Man,29-Jun-15,good,male,human,short,y
Peggy Carter,MCU,Ant-Man,29-Jun-15,good,female,human,short,n
Howard Stark,MCU,Ant-Man,29-Jun-15,good,male,human,short,y
Mitchell Carson,MCU,Ant-Man,29-Jun-15,bad,male,human,short,n
Dale,MCU,Ant-Man,29-Jun-15,good,male,human,short,n
Frank,MCU,Ant-Man,29-Jun-15,good,male,human,short,n
Steve Rogers / Captain America,MCU,Ant-Man,29-Jun-15,good,male,superhero,short,y
Young Pym,MCU,Ant-Man,29-Jun-15,good,male,human,short,y
Janet Van Dyne / Wasp,MCU,Ant-Man,29-Jun-15,good,female,human hero,long,n
Ernesto,MCU,Ant-Man,29-Jun-15,good,male,human,short,y
Carlos,MCU,Ant-Man,29-Jun-15,good,male,human,bald,y
Emily,MCU,Ant-Man,29-Jun-15,good,female,human,long,n
Peachy,MCU,Ant-Man,29-Jun-15,good,male,human,short,y
Ignacio,MCU,Ant-Man,29-Jun-15,good,male,human,short,n
Stan Lee,MCU,Ant-Man,30-Jun-15,good,male,human,short,y
