CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Steve Rogers / Captain America,MCU,Captain America: Civil War,12-Apr-16,good,male,superhero,short,change
Tony Stark / Iron Man,MCU,Captain America: Civil War,12-Apr-16,good,male,human hero,short,y
Natasha Romanoff / Black Widow,MCU,Captain America: Civil War,12-Apr-16,good,female,human hero,change,n
Bucky Barnes / Winter Soldier,MCU,Captain America: Civil War,12-Apr-16,change,male,superhero,change,change
Sam Wilson / Falcon,MCU,Captain America: Civil War,12-Apr-16,good,male,human hero,short,y
James Rhodes / War Machine,MCU,Captain America: Civil War,12-Apr-16,good,male,human hero,short,y
Clint Barton / Hawkeye,MCU,Captain America: Civil War,12-Apr-16,good,male,human hero,short,n
T'Challa / Black Panther,MCU,Captain America: Civil War,12-Apr-16,good,male,superhero,short,y
Vision,MCU,Captain America: Civil War,12-Apr-16,good,?,superhero,NA,NA
Wanda Maximoff / Scarlet Witch,MCU,Captain America: Civil War,12-Apr-16,change,female,superhero,long,n
Scott Lang / Ant-Man,MCU,Captain America: Civil War,12-Apr-16,good,male,human hero,short,n
Sharon Carter,MCU,Captain America: Civil War,12-Apr-16,good,female,human hero,long,n
Peter Parker / Spider-Man,MCU,Captain America: Civil War,12-Apr-16,good,male,superhero,short,n
Zemo,MCU,Captain America: Civil War,12-Apr-16,bad,male,human,short,n
Brock Rumlow / Crossbones,MCU,Captain America: Civil War,12-Apr-16,bad,male,human hero,short,y
Thaddeus Ross,MCU,Captain America: Civil War,12-Apr-16,change,male,human,short,y
Everett K. Ross,MCU,Captain America: Civil War,12-Apr-16,good,male,human,short,n
May Parker,MCU,Captain America: Civil War,12-Apr-16,good,female,human,long,n
T'Chaka,MCU,Captain America: Civil War,12-Apr-16,good,male,human,short,y
Howard Stark,MCU,Captain America: Civil War,12-Apr-16,good,male,human,short,y
Maria Stark,MCU,Captain America: Civil War,12-Apr-16,good,female,human,long,n
Miriam,MCU,Captain America: Civil War,12-Apr-16,good,female,human,short,n
Karpov,MCU,Captain America: Civil War,12-Apr-16,bad,male,human,short,n
Friday,MCU,Captain America: Civil War,12-Apr-16,good,male,superhero,NA,NA
Josef,MCU,Captain America: Civil War,12-Apr-16,bad,male,superhero,short,n
Stan Lee,MCU,Captain America: Civil War,12-Apr-16,good,male,human,short,n
