CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Steve Rogers / Captain America,MCU,Captain America: The First Avenger,19-Jul-11,good,male,superhero,short,change
Peggy Carter,MCU,Captain America: The First Avenger,19-Jul-11,good,female,human,change,n
Bucky Barnes / Winter Soldier,MCU,Captain America: The First Avenger,19-Jul-11,change,male,superhero,change,change
Colonel Chester Phillips,MCU,Captain America: The First Avenger,19-Jul-11,good,male,human,short,n
Johann Schmidt / Red Skull,MCU,Captain America: The First Avenger,19-Jul-11,bad,male,superhero,short,n
Howard Stark,MCU,Captain America: The First Avenger,19-Jul-11,good,male,human,short,y
Heinz Kruger,MCU,Captain America: The First Avenger,19-Jul-11,bad,male,human,short,n
Dr. Abraham Erskine,MCU,Captain America: The First Avenger,19-Jul-11,good,male,human,short,y
Nick Fury,MCU,Captain America: The First Avenger,19-Jul-11,good,male,human hero,bald,y
Dr. Arnim Zola,MCU,Captain America: The First Avenger,19-Jul-11,bad,male,human,short,n
Timothy 'Dum Dum' Dugan,MCU,Captain America: The First Avenger,19-Jul-11,good,male,human hero,short,y
Gabe Jones,MCU,Captain America: The First Avenger,19-Jul-11,good,male,human hero,short,y
Jim Morita,MCU,Captain America: The First Avenger,19-Jul-11,good,male,human hero,short,y
James Montgomery Falsworth,MCU,Captain America: The First Avenger,19-Jul-11,good,male,human hero,short,y
Jacques Dernier,MCU,Captain America: The First Avenger,19-Jul-11,good,male,human hero,short,y
Gilmore Hodge,MCU,Captain America: The First Avenger,19-Jul-11,good,male,human,short,n
Senator Brandt,MCU,Captain America: The First Avenger,19-Jul-11,good,male,human,short,n
Pvt. Lorraine,MCU,Captain America: The First Avenger,19-Jul-11,good,female,human,long,n
Roeder,MCU,Captain America: The First Avenger,19-Jul-11,bad,male,human,short,n
Hutter,MCU,Captain America: The First Avenger,19-Jul-11,bad,male,human,short,n
Schneider,MCU,Captain America: The First Avenger,19-Jul-11,bad,male,human,short,y
Jan,MCU,Captain America: The First Avenger,19-Jul-11,good,male,human,short,y
Connie,MCU,Captain America: The First Avenger,19-Jul-11,good,female,human,long,n
Bonnie,MCU,Captain America: The First Avenger,19-Jul-11,good,female,human,long,n
Adolph Hitler,MCU,Captain America: The First Avenger,19-Jul-11,good,male,human,short,y
Stan Lee,MCU,Captain America: The First Avenger,19-Jul-11,good,male,human,short,y
