CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Peter Quill / Star-Lord,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,good,male,human hero,short,y
Gamora,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,good,female,alien hero,long,n
Drax,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,good,male,alien hero,bald,n
Groot,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,good,male,alien hero,NA,NA
Rocket,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,good,male,alien hero,NA,NA
Yondu Udonta,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,change,male,alien hero,bald,y
Nebula,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,change,female,alien hero,bald,n
Mantis,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,good,female,alien hero,long,n
Stakar Ogord,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,good,male,alien,short,n
Ego,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,bad,male,alien,short,y
Ayesha,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,bad,female,alien,long,n
Taserface,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,bad,male,alien,long,y
Kraglin,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,good,male,alien,short,y
Tullk,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,good,male,alien,long,y
Meredith Quill,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,good,female,human,long,n
Halfnut,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,bad,male,alien,long,y
Brahl,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,bad,male,alien,bald,n
Howard the Duck,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,good,male,alien,NA,NA
Martinex,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,good,male,alien,bald,n
Grandpa Quill,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,good,male,human,short,n
Charlie-27,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,good,male,alien,bald,n
Aleta Ogord,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,good,female,alien,long,n
Zylak,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,bad,male,alien,short,n
Retch,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,bad,male,alien,bald,y
Oblo,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,good,male,alien,long,y
Narblik,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,bad,male,alien,bald,y
Gef,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,bad,male,alien,short,y
Huhtar,MCU,Guardians of the Galaxy Vol. 2,10-Apr-17,bad,male,alien,bald,n
Stan Lee,MCU,Guardians of the Galaxy Vol. 3,10-Apr-17,good,male,human,bald,y
