CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Tony Stark / Iron Man,MCU,Iron Man,14 April 2008,good,male,human hero,short,y
James Rhodes / War Machine,MCU,Iron Man,14 April 2008,good,male,human hero,short,change
Obadiah Stane,MCU,Iron Man,14 April 2008,bad,male,human hero,bald,y
Pepper Potts,MCU,Iron Man,14 April 2008,good,female,human,long,n
Christine Everhart,MCU,Iron Man,14 April 2008,good,female,human,long,n
Yinsen,MCU,Iron Man,14 April 2008,good,male,human,bald,y
Raza,MCU,Iron Man,14 April 2008,bad,male,human,bald,n
Agent Phil Coulson,MCU,Iron Man,14 April 2008,good,male,human,bald,n
JARVIS,MCU,Iron Man,14 April 2008,good,?,alien,NA,NA
Happy Hogan,MCU,Iron Man,14 April 2008,good,male,human,short,n
William Ginter Riva,MCU,Iron Man,14 April 2008,good,male,human,bald,y
Major Allen,MCU,Iron Man,14 April 2008,good,male,human,short,n
Jimmy,MCU,Iron Man,14 April 2008,good,male,human,short,n
Pratt,MCU,Iron Man,14 April 2008,good,male,human,short,n
Ramirez,MCU,Iron Man,14 April 2008,good,female,human,short,n
Stan Lee,MCU,Iron Man,14 April 2008,good,male,human,short,y
Nick Fury,MCU,Iron Man,14 April 2008,good,male,human hero,bald,y
General Gabriel,MCU,Iron Man,14 April 2008,good,male,human,short,n
Abu Bakaar,MCU,Iron Man,14 April 2008,bad,male,human,short,y
Ahmed,MCU,Iron Man,14 April 2008,bad,male,human,short,y
Omar,MCU,Iron Man,14 April 2008,bad,male,human,long,y
Howard Stark,MCU,Iron Man,14 April 2008,good,male,human,short,y
Amira Ahmed,MCU,Iron Man,14 April 2008,good,female,human,long,n
Colonel Craig,MCU,Iron Man,14 April 2008,good,male,human,short,n
Jim Cramer,MCU,Iron Man,14 April 2008,good,male,human,bald,y
