CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Tony Stark / Iron Man,MCU,Iron Man 2,26-Apr-10,good,male,human hero,short,y
Pepper Potts,MCU,Iron Man 2,26-Apr-10,good,female,human,long,n
James Rhodes / War Machine,MCU,Iron Man 2,26-Apr-10,good,male,human hero,short,y
Natasha Romanoff / Black Widow,MCU,Iron Man 2,26-Apr-10,good,female,human hero,change,n
Justin Hammer,MCU,Iron Man 2,26-Apr-10,bad,male,human hero,short,n
Ivan Vanko,MCU,Iron Man 2,26-Apr-10,bad,male,human hero,long,y
Nick Fury,MCU,Iron Man 2,26-Apr-10,good,male,human hero,bald,y
Agent Phil Coulson,MCU,Iron Man 2,26-Apr-10,good,male,human hero,bald,n
Howard Stark,MCU,Iron Man 2,26-Apr-10,good,male,human,short,y
Senator Stern,MCU,Iron Man 2,26-Apr-10,bad,male,human,short,n
JARVIS,MCU,Iron Man 2,26-Apr-10,good,NA,alien,NA,NA
Christine Everhart,MCU,Iron Man 2,26-Apr-10,good,female,human,long,n
Happy Hogan,MCU,Iron Man 2,26-Apr-10,good,male,human,short,n
Adam Goldstein,MCU,Iron Man 2,26-Apr-10,good,male,human,short,y
Anton Vanko,MCU,Iron Man 2,26-Apr-10,bad,male,human,short,y
Stan Lee,MCU,Iron Man 2,26-Apr-10,good,male,human,short,y
Jack,MCU,Iron Man 2,26-Apr-10,bad,male,human,short,n
Christiane Amanpour,MCU,Iron Man 2,26-Apr-10,good,female,human,short,n
Detective Lemieux,MCU,Iron Man 2,26-Apr-10,good,male,human,short,n
Larry Ellison,MCU,Iron Man 2,26-Apr-10,good,male,human,short,y
Major Allen,MCU,Iron Man 2,26-Apr-10,good,male,human,short,n
General Meade,MCU,Iron Man 2,26-Apr-10,good,male,human,bald,n
Rebecca,MCU,Iron Man 2,26-Apr-10,good,female,human,long,n
Rebeka,MCU,Iron Man 2,26-Apr-10,good,female,human,short,n
Bambi Arbogast,MCU,Iron Man 2,26-Apr-10,good,female,human,short,n
Chess Roberts,MCU,Iron Man 2,26-Apr-10,good,female,human,long,n
Elon Musk,MCU,Iron Man 2,26-Apr-10,bad,male,human,short,n
Bill O'Reilly,MCU,Iron Man 2,26-Apr-10,bad,male,human,short,n
Young Tony Stark,MCU,Iron Man 2,26-Apr-10,good,male,human,short,n
