CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Bruce Banner / Hulk,MCU,The Incredible Hulk,06-Jun-08,good,male,superhero,short,change
Betty Ross,MCU,The Incredible Hulk,06-Jun-08,good,female,human,long,n
Emil Blonsky,MCU,The Incredible Hulk,06-Jun-08,bad,male,superhero,short,y
Thaddeus Ross,MCU,The Incredible Hulk,06-Jun-08,change,male,human,short,y
Samuel Sterns,MCU,The Incredible Hulk,06-Jun-08,bad,male,human,short,n
Leonard,MCU,The Incredible Hulk,06-Jun-08,bad,male,human,short,n
Major Kathleen Sparr,MCU,The Incredible Hulk,06-Jun-08,bad,female,human,short,n
Stanley,MCU,The Incredible Hulk,06-Jun-08,good,male,human,short,y
Tony Stark / Iron Man,MCU,The Incredible Hulk,06-Jun-08,good,male,human hero,short,y
General Joe Greller,MCU,The Incredible Hulk,06-Jun-08,bad,male,human,bald,n
Martina,MCU,The Incredible Hulk,06-Jun-08,good,female,human,long,n
McGee,MCU,The Incredible Hulk,06-Jun-08,good,male,human,short,y
Wilson,MCU,The Incredible Hulk,06-Jun-08,good,male,human,short,y
Stan Lee,MCU,The Incredible Hulk,06-Jun-08,good,male,human,bald,y
