CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Thor,MCU,Thor,17-Apr-11,good,male,alien hero,change,y
Jane Foster,MCU,Thor,17-Apr-11,good,female,human,long,n
Loki,MCU,Thor,17-Apr-11,change,male,alien hero,long,n
Odin,MCU,Thor,17-Apr-11,good,male,alien hero,long,y
Erik Selvig,MCU,Thor,17-Apr-11,good,male,human,short,n
Darcy Lewis,MCU,Thor,17-Apr-11,good,female,human,long,n
Agent Phil Coulson,MCU,Thor,17-Apr-11,good,male,human,short,n
King Laufey,MCU,Thor,17-Apr-11,bad,male,alien hero,bald,n
Heimdall,MCU,Thor,17-Apr-11,good,male,alien hero,long,y
Volstagg,MCU,Thor,17-Apr-11,good,male,alien hero,long,y
Hogun,MCU,Thor,17-Apr-11,good,male,alien hero,long,n
Fandral,MCU,Thor,17-Apr-11,good,male,alien hero,short,y
Sif,MCU,Thor,17-Apr-11,good,female,alien hero,long,n
Frigga,MCU,Thor,17-Apr-11,good,female,alien,long,n
Agent Jasper Sitwell,MCU,Thor,17-Apr-11,bad,male,human,bald,n
Agent Jackson,MCU,Thor,17-Apr-11,good,male,human,short,n
Agent Garrett,MCU,Thor,17-Apr-11,good,male,human,short,y
Agent Cale,MCU,Thor,17-Apr-11,good,male,human,short,n
Stan Lee,MCU,Thor,17-Apr-11,good,male,human,short,y
Nick Fury,MCU,Thor,17-Apr-11,good,male,human hero,bald,y
Clint Barton / Hawkeye,MCU,Thor,17-Apr-11,good,male,human hero,short,n
Isabela Alvarez,MCU,Thor,17-Apr-11,good,male,human,short,n
Agent Delancey,MCU,Thor,17-Apr-11,good,male,human,short,n
Pete,MCU,Thor,17-Apr-11,good,male,human,short,n
