NAME 1,NAME 2
Tony Stark / Iron Man,Thor
Tony Stark / Iron Man,Bruce Banner / Hulk
Tony Stark / Iron Man,Steve Rogers / Captain America
Tony Stark / Iron Man,Natasha Romanoff / Black Widow
Tony Stark / Iron Man,Clint Barton / Hawkeye
Tony Stark / Iron Man,Ultron
Tony Stark / Iron Man,Nick Fury
Tony Stark / Iron Man,James Rhodes / War Machine
Tony Stark / Iron Man,Pietro Maximoff / Quicksilver
Tony Stark / Iron Man,Wanda Maximoff / Scarlet Witch
Tony Stark / Iron Man,JARVIS
Tony Stark / Iron Man,Agent Maria Hill
Tony Stark / Iron Man,Sam Wilson / Falcon
Tony Stark / Iron Man,Heimdall
Tony Stark / Iron Man,Laura Barton
Tony Stark / Iron Man,Erik Selvig
Tony Stark / Iron Man,Dr. Helen Cho
Tony Stark / Iron Man,Baron Wolfgang von Strucker
Tony Stark / Iron Man,Ulysses Klaue
Tony Stark / Iron Man,Stan Lee
Tony Stark / Iron Man,Zrinka
Tony Stark / Iron Man,Costel
Tony Stark / Iron Man,Cooper Barton
Tony Stark / Iron Man,Lila Barton
Tony Stark / Iron Man,Specialist Cameron Klein
Tony Stark / Iron Man,Thanos
Tony Stark / Iron Man,Peggy Carter
Tony Stark / Iron Man,Madame B
Tony Stark / Iron Man,Dr. List
Tony Stark / Iron Man,Friday
Tony Stark / Iron Man,Nathaniel Pietro Barton
Tony Stark / Iron Man,Vision
Thor,Bruce Banner / Hulk
Thor,Steve Rogers / Captain America
Thor,Natasha Romanoff / Black Widow
Thor,Clint Barton / Hawkeye
Thor,Ultron
Thor,Nick Fury
Thor,James Rhodes / War Machine
Thor,Pietro Maximoff / Quicksilver
Thor,Wanda Maximoff / Scarlet Witch
Thor,JARVIS
Thor,Agent Maria Hill
Thor,Sam Wilson / Falcon
Thor,Heimdall
Thor,Laura Barton
Thor,Erik Selvig
Thor,Dr. Helen Cho
Thor,Baron Wolfgang von Strucker
Thor,Ulysses Klaue
Thor,Stan Lee
Thor,Zrinka
Thor,Costel
Thor,Cooper Barton
Thor,Lila Barton
Thor,Specialist Cameron Klein
Thor,Thanos
Thor,Peggy Carter
Thor,Madame B
Thor,Dr. List
Thor,Friday
Thor,Nathaniel Pietro Barton
Thor,Vision
Bruce Banner / Hulk,Steve Rogers / Captain America
Bruce Banner / Hulk,Natasha Romanoff / Black Widow
Bruce Banner / Hulk,Clint Barton / Hawkeye
Bruce Banner / Hulk,Ultron
