NAME 1,NAME 2
Tony Stark / Iron Man,Thor
Tony Stark / Iron Man,Bruce Banner / Hulk
Tony Stark / Iron Man,Steve Rogers / Captain America
Tony Stark / Iron Man,Natasha Romanoff / Black Widow
Tony Stark / Iron Man,James Rhodes / War Machine
Tony Stark / Iron Man,Dr. Stephen Strange
Tony Stark / Iron Man,Peter Parker / Spider-Man
Tony Stark / Iron Man,T'Challa / Black Panther
Tony Stark / Iron Man,Gamora
Tony Stark / Iron Man,Nebula
Tony Stark / Iron Man,Loki
Tony Stark / Iron Man,Vision
Tony Stark / Iron Man,Wanda Maximoff / Scarlet Witch
Tony Stark / Iron Man,Sam Wilson / Falcon
Tony Stark / Iron Man,Bucky Barnes / Winter Soldier
Tony Stark / Iron Man,Heimdall
Tony Stark / Iron Man,Okoye
Tony Stark / Iron Man,Eitri
Tony Stark / Iron Man,Wong
Tony Stark / Iron Man,Mantis
Tony Stark / Iron Man,Drax
Tony Stark / Iron Man,Groot
Tony Stark / Iron Man,Rocket
Tony Stark / Iron Man,Pepper Potts
Tony Stark / Iron Man,Thanos
Tony Stark / Iron Man,Peter Quill / Star-Lord
Tony Stark / Iron Man,Thaddeus Ross
Tony Stark / Iron Man,Shuri
Tony Stark / Iron Man,Cull Obsidian
Tony Stark / Iron Man,Ebony Maw
Tony Stark / Iron Man,Proxima Midnight
Tony Stark / Iron Man,Corvus Glaive
Tony Stark / Iron Man,M'Baku
Tony Stark / Iron Man,Ayo
Tony Stark / Iron Man,Ned
Tony Stark / Iron Man,Gamora's Mother
Tony Stark / Iron Man,Johann Schmidt / Red Skull
Tony Stark / Iron Man,Nick Fury
Tony Stark / Iron Man,Agent Maria Hill
Tony Stark / Iron Man,The Collector
Tony Stark / Iron Man,Friday
Tony Stark / Iron Man,Cindy
Tony Stark / Iron Man,Sally
Tony Stark / Iron Man,Tiny
Tony Stark / Iron Man,Stan Lee
Thor,Bruce Banner / Hulk
Thor,Steve Rogers / Captain America
Thor,Natasha Romanoff / Black Widow
Thor,James Rhodes / War Machine
Thor,Dr. Stephen Strange
Thor,Peter Parker / Spider-Man
Thor,T'Challa / Black Panther
Thor,Gamora
Thor,Nebula
Thor,Loki
Thor,Vision
Thor,Wanda Maximoff / Scarlet Witch
Thor,Sam Wilson / Falcon
Thor,Bucky Barnes / Winter Soldier
Thor,Heimdall
Thor,Okoye
Thor,Eitri
Thor,Wong
Thor,Mantis
Thor,Drax
Thor,Groot
